Wie ist das Wetter?,Wie ist das Wetter?,,lang/de_lessons/audio/wie_ist_das_wetter.mp3
Wie ist die Wettervorhersage für heute?,What's the forecast for today?,,lang/de_lessons/audio/wie_ist_die_wettervorhersage_für_heute.mp3
Wie ist die Wettervorhersage für morgen?,What's the forecast for tomorrow?,,lang/de_lessons/audio/wie_ist_die_wettervorhersage_für_morgen.mp3
Ist es warm?,How warm is it?,,lang/de_lessons/audio/ist_es_warm.mp3
Wird es regnen?,Is it going to rain?,,lang/de_lessons/audio/wird_es_regnen.mp3
So ein schöner Tag!,What a lovely day!,,lang/de_lessons/audio/so_ein_schöner_tag.mp3
Was für furchtbares Wetter!,What awful weather!,,lang/de_lessons/audio/was_für_furchtbares_wetter.mp3
die Temperatur,temperature,,lang/de_lessons/audio/die_temperatur.mp3
die Sonne,sun,,lang/de_lessons/audio/die_sonne.mp3
der Regen,rain,,lang/de_lessons/audio/der_regen.mp3
der Schnee,snow,,lang/de_lessons/audio/der_schnee.mp3
der Hagel,hail,,lang/de_lessons/audio/der_hagel.mp3
das Eis,ice,,lang/de_lessons/audio/das_eis.mp3
der Wind,wind,,lang/de_lessons/audio/der_wind.mp3
der Sturm,gale,,lang/de_lessons/audio/der_sturm.mp3
der Dunst,mist,,lang/de_lessons/audio/der_dunst.mp3
der Nebel,fog,,lang/de_lessons/audio/der_nebel.mp3
der Donner,thunder,,lang/de_lessons/audio/der_donner.mp3
der Blitz,lightning,,lang/de_lessons/audio/der_blitz.mp3
das Gewitter,thunderstorm,,lang/de_lessons/audio/das_gewitter.mp3
die Wolke,cloud,,lang/de_lessons/audio/die_wolke.mp3
