Wie geht es Ihnen?,How are you?,,lang/de_lessons/audio/wie_geht_es_ihnen.mp3
Wie geht’s?,How's it going?,,lang/de_lessons/audio/wie_gehts.mp3
Wie geht es ihm?,How is he?,,lang/de_lessons/audio/wie_geht_es_ihm.mp3
Wie geht es ihr?,How is she?,,lang/de_lessons/audio/wie_geht_es_ihr.mp3
Wie geht es ihnen?,How are they?,,lang/de_lessons/audio/wie_geht_es_ihnen.mp3
Sehr gut danke und Ihnen?,Very well thanks and you?,,lang/de_lessons/audio/sehr_gut_danke_und_ihnen.mp3
Danke gut,Fine thanks,,lang/de_lessons/audio/danke_gut.mp3
Super,Great,,lang/de_lessons/audio/super.mp3
So lala,So-so,,lang/de_lessons/audio/so_lala.mp3
Nicht schlecht danke,Not bad thanks,,lang/de_lessons/audio/nicht_schlecht_danke.mp3
Es geht so,Could be worse,,lang/de_lessons/audio/es_geht_so.mp3
Mir geht es gut,I'm fine,,lang/de_lessons/audio/mir_geht_es_gut.mp3
Ich bin müde,I'm tired,,lang/de_lessons/audio/ich_bin_müde.mp3
Ich habe Hunger,I'm hungry,,lang/de_lessons/audio/ich_habe_hunger.mp3
Ich habe Durst,I'm thirsty,,lang/de_lessons/audio/ich_habe_durst.mp3
Ich bin satt,I'm full,,lang/de_lessons/audio/ich_bin_satt.mp3
Mir ist kalt,I'm cold,,lang/de_lessons/audio/mir_ist_kalt.mp3
Mir ist warm,I'm warm,,lang/de_lessons/audio/mir_ist_warm.mp3
