Ja,Yes,,lang/de_lessons/audio/ja.mp3
Nein,No,,lang/de_lessons/audio/nein.mp3
Ich weiß nicht,I don't want,,lang/de_lessons/audio/ich_weiß_nicht.mp3
Bitte,Please,,lang/de_lessons/audio/bitte.mp3
Ja bitte,Yes please,,lang/de_lessons/audio/ja_bitte.mp3
Vielen Dank,Thankyou,,lang/de_lessons/audio/vielen_dank.mp3
Nein danke,No thanks,,lang/de_lessons/audio/nein_danke.mp3
Entschuldigung,Excuse me,,lang/de_lessons/audio/entschuldigung.mp3
Wie bitte?,Sorry?,,lang/de_lessons/audio/wie_bitte.mp3
Es tut mir leid,I'm sorry,,lang/de_lessons/audio/es_tut_mir_leid.mp3
Einverstanden!,Ok!,,lang/de_lessons/audio/einverstanden.mp3
Bitte,You're welcome,,lang/de_lessons/audio/bitte.mp3
Ich verstehe nicht,I don’t understand,,lang/de_lessons/audio/ich_verstehe_nicht.mp3
