Hallo,Hello,,audio/hallo.mp3
Guten Morgen,Good morning,,audio/guten_morgen.mp3
Guten Tag,Good afternoon,,audio/guten_tag.mp3
Guten Abend,Good evening,,audio/guten_abend.mp3
Gute Nacht,Goodnight,,audio/gute_nacht.mp3
Bis bald,See you soon,,audio/bis_bald.mp3
Bis morgen,See you tomorrow,,audio/bis_morgen.mp3
Bis Samstag,See you on Saturday,,audio/bis_samstag.mp3
Tschüss,Bye,,audio/tschüss.mp3
Schönen Tag,Have a good day,,audio/schönen_tag.mp3
Schönen Abend,Have a good evening,,audio/schönen_abend.mp3
