Sind Sie verheiratet?,Are you married?,,audio/sind_sie_verheiratet.mp3
Sind Sie ledig?,Are you single?,,audio/sind_sie_ledig.mp3
Ich bin verheiratet,I'm married,,audio/ich_bin_verheiratet.mp3
Ich habe einen Partner,I have a partner,,audio/ich_habe_einen_partner.mp3
Ich habe eine Partnerin,I have a partner,,audio/ich_habe_eine_partnerin.mp3
Ich bin ledig,I’m single,,audio/ich_bin_ledig.mp3
Ich bin geschieden,I’m divorced,,audio/ich_bin_geschieden.mp3
Ich bin verwitwet,I’m widowed,,audio/ich_bin_verwitwet.mp3
Haben Sie Kinder?,Do you have any children?,,audio/haben_sie_kinder.mp3
Ich habe zwei Kinder,I have two children,,audio/ich_habe_zwei_kinder.mp3
Ich habe keine Kinder,I have no children,,audio/ich_habe_keine_kinder.mp3
Ich bin kinderlos,I am childless,,audio/ich_bin_kinderlos.mp3
