¿cómo te llamas?,what’s your name?,,lang/es_lessons/audio/cómo_te_llamas.mp3
soy,I am…,,lang/es_lessons/audio/soy.mp3
¿de dónde eres?,where are you from?,,lang/es_lessons/audio/de_dónde_eres.mp3
mucho gusto,nice to meet you,,lang/es_lessons/audio/mucho_gusto.mp3
tengo… años,I’m … years old,,lang/es_lessons/audio/tengo_años.mp3
¿a qué te dedicas?,what do you do (for work)?,,lang/es_lessons/audio/a_qué_te_dedicas.mp3
me gusta,I like…,,lang/es_lessons/audio/me_gusta.mp3
no me gusta,I don’t like…,,lang/es_lessons/audio/no_me_gusta.mp3
